species_name,species_code,period,metric,mean,median,sd
Aedes_aegypti,Aeae,Baseline,presence,0.755503651,0.749118626,0.072865263
Aedes_aegypti,Aeae,Baseline,abundance,4.366749061,4.133770704,1.092506354
Aedes_aegypti,Aeae,January,presence,0.608978768,0.617262483,0.119837729
Aedes_aegypti,Aeae,February,presence,0.624878826,0.623966277,0.094683325
Aedes_aegypti,Aeae,March,presence,0.708802957,0.729149938,0.09313421
Aedes_aegypti,Aeae,April,presence,0.745964967,0.745761812,0.073237639
Aedes_aegypti,Aeae,May,presence,0.794406562,0.800208807,0.062865399
Aedes_aegypti,Aeae,June,presence,0.778173244,0.786500305,0.070869105
Aedes_aegypti,Aeae,July,presence,0.758456715,0.762441993,0.078572915
Aedes_aegypti,Aeae,August,presence,0.757057688,0.764427781,0.086975926
Aedes_aegypti,Aeae,September,presence,0.785972407,0.798877239,0.072368123
Aedes_aegypti,Aeae,October,presence,0.802232907,0.800208807,0.057104817
Aedes_aegypti,Aeae,November,presence,0.756488241,0.768882453,0.068204207
Aedes_aegypti,Aeae,December,presence,0.628552594,0.618407011,0.110472705
Aedes_aegypti,Aeae,January,abundance,2.869148197,2.778180122,0.596105737
Aedes_aegypti,Aeae,February,abundance,2.987754199,2.856835246,0.588760743
Aedes_aegypti,Aeae,March,abundance,3.393939806,3.177963734,0.853757163
Aedes_aegypti,Aeae,April,abundance,4.208656692,3.931027889,1.075412187
Aedes_aegypti,Aeae,May,abundance,4.569946169,4.366943836,1.17544599
Aedes_aegypti,Aeae,June,abundance,4.78571365,4.606245995,1.203036836
Aedes_aegypti,Aeae,July,abundance,4.489563358,4.428305149,0.921219163
Aedes_aegypti,Aeae,August,abundance,4.904629846,4.846124411,1.00761226
Aedes_aegypti,Aeae,September,abundance,4.693336153,4.574948788,1.170769992
Aedes_aegypti,Aeae,October,abundance,4.409618366,4.32956934,1.069892446
Aedes_aegypti,Aeae,November,abundance,3.949988118,3.69073391,1.032318846
Aedes_aegypti,Aeae,December,abundance,2.989053935,2.821684122,0.718043255
Aedes_albopictus,Aealb,Baseline,presence,0.561120099,0.541224331,0.113060393
Aedes_albopictus,Aealb,Baseline,abundance,3.702021034,3.765876055,0.680753243
Aedes_albopictus,Aealb,January,presence,0.383597985,0.372632086,0.07753121
Aedes_albopictus,Aealb,February,presence,0.37048242,0.352973163,0.085859552
Aedes_albopictus,Aealb,March,presence,0.471085873,0.474521726,0.112970763
Aedes_albopictus,Aealb,April,presence,0.544817967,0.524794549,0.110132049
Aedes_albopictus,Aealb,May,presence,0.548371166,0.534141988,0.090962112
Aedes_albopictus,Aealb,June,presence,0.562099101,0.550310314,0.099194159
Aedes_albopictus,Aealb,July,presence,0.569031213,0.562808007,0.10679359
Aedes_albopictus,Aealb,August,presence,0.560486936,0.559516907,0.094276375
Aedes_albopictus,Aealb,September,presence,0.55270623,0.540640712,0.090360008
Aedes_albopictus,Aealb,October,presence,0.547599297,0.524202675,0.090498156
Aedes_albopictus,Aealb,November,presence,0.53321127,0.525211275,0.105786792
Aedes_albopictus,Aealb,December,presence,0.403719774,0.378882617,0.096282165
Aedes_albopictus,Aealb,January,abundance,2.834325646,2.750995398,0.455492417
Aedes_albopictus,Aealb,February,abundance,2.701395713,2.595423222,0.393442443
Aedes_albopictus,Aealb,March,abundance,2.953600809,2.742444634,0.600173632
Aedes_albopictus,Aealb,April,abundance,3.582929101,3.657385468,0.711124723
Aedes_albopictus,Aealb,May,abundance,3.612084349,3.604188085,0.599114
Aedes_albopictus,Aealb,June,abundance,3.579219826,3.549502254,0.618671064
Aedes_albopictus,Aealb,July,abundance,3.419748517,3.42445147,0.642704539
Aedes_albopictus,Aealb,August,abundance,3.6568927,3.695280313,0.610733144
Aedes_albopictus,Aealb,September,abundance,3.499098318,3.527063131,0.58049739
Aedes_albopictus,Aealb,October,abundance,3.460522777,3.527063131,0.61397636
Aedes_albopictus,Aealb,November,abundance,3.528323046,3.65499258,0.730954485
Aedes_albopictus,Aealb,December,abundance,2.935553446,2.704591274,0.635399425
Culex_quinquefasciatus,Quinx,Baseline,presence,0.594289318,0.680334747,0.233856162
Culex_quinquefasciatus,Quinx,Baseline,abundance,14.77384447,14.62493134,4.119175392
Culex_quinquefasciatus,Quinx,January,presence,0.46587513,0.481354594,0.234760829
Culex_quinquefasciatus,Quinx,February,presence,0.519210647,0.658995628,0.242462895
Culex_quinquefasciatus,Quinx,March,presence,0.533101958,0.658705592,0.246822809
Culex_quinquefasciatus,Quinx,April,presence,0.550704308,0.627025723,0.238307809
Culex_quinquefasciatus,Quinx,May,presence,0.606013238,0.649418712,0.227779346
Culex_quinquefasciatus,Quinx,June,presence,0.641296191,0.739836156,0.221326436
Culex_quinquefasciatus,Quinx,July,presence,0.600873405,0.546811044,0.211228188
Culex_quinquefasciatus,Quinx,August,presence,0.736153874,0.812097788,0.172225154
Culex_quinquefasciatus,Quinx,September,presence,0.605343916,0.531916082,0.22622328
Culex_quinquefasciatus,Quinx,October,presence,0.529894557,0.466923252,0.217675917
Culex_quinquefasciatus,Quinx,November,presence,0.502268469,0.389460832,0.267275419
Culex_quinquefasciatus,Quinx,December,presence,0.430373617,0.423699945,0.249339196
Culex_quinquefasciatus,Quinx,January,abundance,12.85674456,12.61892223,5.380722674
Culex_quinquefasciatus,Quinx,February,abundance,14.63767804,16.12868118,4.642107758
Culex_quinquefasciatus,Quinx,March,abundance,13.65220035,12.61892223,3.946594673
Culex_quinquefasciatus,Quinx,April,abundance,14.23693682,13.52592659,3.848191286
Culex_quinquefasciatus,Quinx,May,abundance,17.92169827,16.37773895,4.905203244
Culex_quinquefasciatus,Quinx,June,abundance,19.61210254,16.80341148,7.555900951
Culex_quinquefasciatus,Quinx,July,abundance,19.23696057,15.69412947,8.969117076
Culex_quinquefasciatus,Quinx,August,abundance,21.82701511,20.72567749,7.660125657
Culex_quinquefasciatus,Quinx,September,abundance,19.6082546,16.2011795,7.700339649
Culex_quinquefasciatus,Quinx,October,abundance,17.7517091,16.18250275,6.040813584
Culex_quinquefasciatus,Quinx,November,abundance,13.98033395,13.2428751,3.98887382
Culex_quinquefasciatus,Quinx,December,abundance,12.34945187,12.50339699,5.118207336
Aedes_mediovittatus,Aem,Baseline,presence,0.142518643,0.120597854,0.069686824
Aedes_mediovittatus,Aem,Baseline,abundance,1.864902522,1.694054127,0.495602379
Aedes_mediovittatus,Aem,January,presence,0.175933621,0.155575976,0.075050508
Aedes_mediovittatus,Aem,February,presence,0.181825012,0.163278222,0.078651033
Aedes_mediovittatus,Aem,March,presence,0.178235491,0.169588804,0.071512251
Aedes_mediovittatus,Aem,April,presence,0.143368478,0.123160888,0.068891352
Aedes_mediovittatus,Aem,May,presence,0.088167257,0.06040759,0.065022955
Aedes_mediovittatus,Aem,June,presence,0.107952232,0.080416791,0.072153296
Aedes_mediovittatus,Aem,July,presence,0.126815938,0.108413093,0.070305984
Aedes_mediovittatus,Aem,August,presence,0.139243147,0.11298015,0.089078925
Aedes_mediovittatus,Aem,September,presence,0.092404805,0.064981434,0.067584349
Aedes_mediovittatus,Aem,October,presence,0.075337433,0.06040759,0.04497802
Aedes_mediovittatus,Aem,November,presence,0.149684341,0.133664832,0.068775188
Aedes_mediovittatus,Aem,December,presence,0.15876376,0.142388865,0.067486395
Aedes_mediovittatus,Aem,January,abundance,1.562038157,1.401771545,0.352456556
Aedes_mediovittatus,Aem,February,abundance,1.6517659,1.397242308,0.436706406
Aedes_mediovittatus,Aem,March,abundance,1.730294889,1.398415565,0.528263834
Aedes_mediovittatus,Aem,April,abundance,1.858802197,1.719930053,0.513334185
Aedes_mediovittatus,Aem,May,abundance,1.858650121,1.791364312,0.454361267
Aedes_mediovittatus,Aem,June,abundance,1.858481762,1.755955875,0.455869479
Aedes_mediovittatus,Aem,July,abundance,1.850265853,1.74085927,0.428057317
Aedes_mediovittatus,Aem,August,abundance,2.028739741,2.083034039,0.485554263
Aedes_mediovittatus,Aem,September,abundance,1.822444333,1.766111016,0.396932031
Aedes_mediovittatus,Aem,October,abundance,1.780138558,1.697704077,0.390282223
Aedes_mediovittatus,Aem,November,abundance,1.766007664,1.580713034,0.514536944
Aedes_mediovittatus,Aem,December,abundance,1.623690686,1.409567833,0.432382179
Culex_nigripalpus,Cxn,Baseline,presence,0.293946384,0.256160349,0.180187393
Culex_nigripalpus,Cxn,Baseline,abundance,8.331172362,7.957112312,2.905280222
Culex_nigripalpus,Cxn,January,presence,0.65885633,0.67597419,0.124253855
Culex_nigripalpus,Cxn,February,presence,0.676370027,0.684812248,0.12131413
Culex_nigripalpus,Cxn,March,presence,0.662433696,0.713141799,0.150429762
Culex_nigripalpus,Cxn,April,presence,0.346646239,0.318159312,0.201816111
Culex_nigripalpus,Cxn,May,presence,0.133692163,0.106480218,0.089749467
Culex_nigripalpus,Cxn,June,presence,0.161337337,0.119378559,0.124876636
Culex_nigripalpus,Cxn,July,presence,0.242382022,0.194948927,0.170002011
Culex_nigripalpus,Cxn,August,presence,0.175293959,0.138010181,0.13345781
Culex_nigripalpus,Cxn,September,presence,0.122687178,0.100029141,0.081217476
Culex_nigripalpus,Cxn,October,presence,0.125498181,0.104969244,0.088878342
Culex_nigripalpus,Cxn,November,presence,0.476226733,0.462656289,0.259759829
Culex_nigripalpus,Cxn,December,presence,0.64536504,0.713141799,0.184467807
Culex_nigripalpus,Cxn,January,abundance,17.41096281,15.21119404,6.981727263
Culex_nigripalpus,Cxn,February,abundance,16.32638125,14.61597919,7.127035414
Culex_nigripalpus,Cxn,March,abundance,15.21021009,14.67972946,5.903569889
Culex_nigripalpus,Cxn,April,abundance,9.30296983,8.336891174,3.787616067
Culex_nigripalpus,Cxn,May,abundance,6.163167963,6.000216961,1.354780357
Culex_nigripalpus,Cxn,June,abundance,6.389697294,6.052463531,1.86002564
Culex_nigripalpus,Cxn,July,abundance,7.549380895,6.771216869,2.98982566
Culex_nigripalpus,Cxn,August,abundance,5.857087243,5.412986279,1.6724572
Culex_nigripalpus,Cxn,September,abundance,6.165576118,5.961081982,1.425120894
Culex_nigripalpus,Cxn,October,abundance,6.349465782,6.308194637,1.476959397
Culex_nigripalpus,Cxn,November,abundance,11.55991745,8.976860046,6.005332651
Culex_nigripalpus,Cxn,December,abundance,17.55261906,15.74363232,7.572656674
Psorophora_columbiae,Psc,Baseline,presence,0.02475288,0.01157784,0.040152912
Psorophora_columbiae,Psc,Baseline,abundance,5.422042526,4.602864742,1.939556676
Psorophora_columbiae,Psc,January,presence,0.00993865,0.004374819,0.015274924
Psorophora_columbiae,Psc,February,presence,0.011038385,0.008798947,0.009203238
Psorophora_columbiae,Psc,March,presence,0.007951005,0.004419303,0.006581555
Psorophora_columbiae,Psc,April,presence,0.025515116,0.011239703,0.037455285
Psorophora_columbiae,Psc,May,presence,0.036473626,0.019057997,0.040705038
Psorophora_columbiae,Psc,June,presence,0.043714629,0.019057997,0.056642939
Psorophora_columbiae,Psc,July,presence,0.030178495,0.016746342,0.03941121
Psorophora_columbiae,Psc,August,presence,0.056577392,0.038841322,0.059179984
Psorophora_columbiae,Psc,September,presence,0.040839483,0.019057997,0.046997177
Psorophora_columbiae,Psc,October,presence,0.031124734,0.019057997,0.031646057
Psorophora_columbiae,Psc,November,presence,0.023308271,0.004469885,0.041786325
Psorophora_columbiae,Psc,December,presence,0.011237231,0.004296654,0.01990782
Psorophora_columbiae,Psc,January,abundance,5.428607834,4.602767944,1.946545142
Psorophora_columbiae,Psc,February,abundance,5.893097972,4.835591793,2.09300289
Psorophora_columbiae,Psc,March,abundance,5.545382937,4.602767944,1.960562951
Psorophora_columbiae,Psc,April,abundance,5.421923117,4.776220798,1.969720185
Psorophora_columbiae,Psc,May,abundance,4.837737895,4.02614975,2.017969119
Psorophora_columbiae,Psc,June,abundance,6.198585758,4.602864742,3.770816979
Psorophora_columbiae,Psc,July,abundance,6.833346715,4.83569479,4.158294362
Psorophora_columbiae,Psc,August,abundance,8.057079124,7.091766834,5.247591866
Psorophora_columbiae,Psc,September,abundance,5.989561814,4.238572121,3.965638151
Psorophora_columbiae,Psc,October,abundance,4.702946681,4.13285923,1.858550638
Psorophora_columbiae,Psc,November,abundance,5.130534828,4.602767944,1.75384026
Psorophora_columbiae,Psc,December,abundance,5.234093036,4.602767944,1.843108476
